n_cases,n_work_days,runtime_seconds,cumulative_runtime,days_used,initial_hard_violations
10,3,-1,0.0,-1,-1
60,6,-1,0.0,-1,-1
110,8,-1,0.0,-1,-1
160,11,-1,0.1,-1,-1
210,14,-1,0.1,-1,-1
260,16,-1,0.1,-1,-1
310,19,-1,0.1,-1,-1
360,21,-1,0.1,-1,-1
410,24,-1,0.1,-1,-1
460,27,-1,0.2,-1,-1
510,29,-1,0.2,-1,-1
560,32,-1,0.2,-1,-1
610,34,-1,0.2,-1,-1
660,37,-1,0.2,-1,-1
710,40,-1,0.2,-1,-1
760,42,-1,0.3,-1,-1
810,45,-1,0.3,-1,-1
860,47,-1,0.3,-1,-1
910,50,-1,0.3,-1,-1
960,53,-1,0.3,-1,-1
1010,55,-1,0.3,-1,-1
1060,58,-1,0.4,-1,-1
1110,60,-1,0.4,-1,-1
1160,63,-1,0.4,-1,-1
1210,66,-1,0.4,-1,-1
1260,68,-1,0.4,-1,-1
1310,71,-1,0.4,-1,-1
1360,73,-1,0.5,-1,-1
1410,76,-1,0.5,-1,-1
1460,79,-1,0.5,-1,-1
1510,81,-1,0.5,-1,-1
1560,84,-1,0.5,-1,-1
1610,86,-1,0.5,-1,-1
1660,89,-1,0.6,-1,-1
1710,92,-1,0.6,-1,-1
1760,94,-1,0.6,-1,-1
1810,97,-1,0.6,-1,-1
1860,99,-1,0.6,-1,-1
1910,102,-1,0.6,-1,-1
1960,105,-1,0.7,-1,-1
